Core 0 Temp,Core 1 Temp,Core 2 Temp,Core 3 Temp,Core 4 Temp,Core 5 Temp,Core 6 Temp,Core 7 Temp,,Core 0,Low temp_0,High temp_0,Core_load_0,Core_speed_0,Core 1,Low temp_1,High temp_1,Core load_1,Core speed_1,Core 2,Low temp_2,High temp_2,Core load_2,Core speed_2,Core 3,Low temp_3,High temp_3,Core load_3,Core speed_3,Core 4,Low temp_4,High temp_4,Core load_4,Core speed_4,Core 5,Low temp_5,High temp_5,Core load_5,Core speed_5,Core 6,Low temp_6,High temp_6,Core load_6,Core speed_6,Core 7,Low temp_7,High temp_7 ,Core load_7,Core speed_7,CPU 0 Power
34,34,35,35,35,36,35,36,,,34,48,0,1296.5,,34,42,1,1296.5,,34,49,3,1296.5,,35,43,0,1296.5,,34,41,1,1296.5,,36,44,0,1296.5,,34,42,1,1296.5,,35,43,3,1296.5,3.2
35,34,35,35,35,35,35,36,,,34,48,2,897.58,,34,42,1,897.58,,34,49,1,897.58,,35,43,0,897.58,,34,41,0,897.58,,35,44,0,897.58,,34,42,0,897.58,,35,52,1,897.58,2.1
41,57,39,42,38,41,40,39,,,34,48,1,4787.09,,34,57,48,4787.09,,34,56,2,4687.36,,35,55,0,4787.09,,34,41,0,4787.09,,35,44,1,4787.09,,34,42,0,4787.09,,35,52,0,4787.09,20.5
41,56,39,42,39,41,41,40,,,34,48,1,4687.36,,34,57,49,4687.36,,34,56,1,4687.36,,35,55,0,4687.36,,34,41,0,4687.36,,35,44,1,4687.36,,34,42,0,4687.36,,35,52,0,4687.36,20.5
42,46,41,42,41,43,42,45,,,34,48,3,4487.9,,34,57,13,4487.9,,34,56,12,4487.9,,35,55,15,4487.9,,34,41,1,4487.9,,35,44,9,4487.9,,34,42,4,4487.9,,35,52,1,4487.9,22.8
42,56,40,42,39,42,41,40,,,34,48,0,4687.36,,34,58,42,4687.36,,34,58,3,4687.36,,35,55,3,4687.36,,34,43,0,4687.36,,35,44,0,4687.36,,34,42,1,4687.36,,35,52,1,4687.36,21.4
37,38,37,37,37,39,37,39,,,34,48,0,1097.32,,34,58,0,1097.32,,34,58,0,1097.32,,35,55,0,1097.32,,34,43,0,1097.32,,35,44,4,1097.32,,34,42,0,1097.32,,35,52,2,1097.32,6.9
37,38,37,37,36,38,38,39,,,34,48,4,4588.78,,34,58,1,4588.78,,34,58,2,4588.78,,35,55,2,4588.78,,34,43,0,4588.78,,35,44,0,4588.78,,34,42,0,4588.78,,35,52,2,4588.78,3.3
36,37,37,37,36,38,37,38,,,34,48,8,798.05,,34,58,7,798.05,,34,58,5,798.05,,35,55,6,798.05,,34,43,3,798.05,,35,44,3,798.05,,34,42,1,798.05,,35,52,13,798.05,14
35,36,36,36,36,36,36,37,,,34,48,2,4289.51,,34,58,1,4289.51,,34,58,2,4289.51,,35,55,1,4289.51,,34,43,1,4289.51,,35,44,0,4289.51,,34,42,0,4289.51,,35,52,2,4289.51,2.4
37,37,37,37,36,38,37,38,,,34,48,1,4588.78,,34,58,2,4588.78,,34,58,0,4588.78,,35,55,1,4489.02,,34,43,0,4588.78,,35,44,0,4588.78,,34,42,0,4588.78,,35,52,0,4588.78,6.1
35,36,36,36,35,36,36,37,,,34,48,7,897.8,,34,58,4,897.8,,34,58,2,897.8,,35,55,2,897.8,,34,43,1,897.8,,35,44,1,897.8,,34,44,0,897.8,,35,52,5,897.8,6.4
37,38,37,37,37,38,38,39,,,34,48,1,897.8,,34,58,3,897.8,,34,58,4,897.8,,35,55,1,897.8,,34,43,1,897.8,,35,44,0,897.8,,34,44,2,897.8,,35,52,7,897.8,3.8
52,51,48,48,47,47,54,56,,,34,52,36,4389.26,,34,58,36,4489.02,,34,58,33,4389.26,,35,55,37,4389.26,,34,51,26,4389.26,,35,49,33,4389.26,,34,57,39,4389.26,,35,56,39,4389.26,55.5
55,54,60,53,58,52,51,51,,,34,58,37,4090,,34,58,55,4090,,34,60,40,4090,,35,55,40,4289.51,,34,60,43,4090,,35,58,41,4090,,34,60,49,4090,,35,59,47,4289.51,53.7
42,42,42,42,43,44,54,57,,,34,59,3,4489.02,,34,58,2,4489.02,,34,63,2,4489.02,,35,58,0,4489.02,,34,61,0,4489.02,,35,59,5,4489.02,,34,60,33,4489.02,,35,59,12,4489.02,12.5
39,40,39,39,38,40,40,40,,,34,59,2,4588.78,,34,58,4,4588.78,,34,63,4,4588.78,,35,58,1,4588.78,,34,61,1,4588.78,,35,59,2,4588.78,,34,60,3,4588.78,,35,59,5,4588.78,7.3
38,39,38,38,38,39,39,40,,,34,59,0,4389.26,,34,58,3,4489.02,,34,63,0,4489.02,,35,58,0,4588.78,,34,61,0,4588.78,,35,59,0,4588.78,,34,60,0,4489.02,,35,59,1,4489.02,1.3
38,39,37,38,39,39,39,39,,,34,59,3,897.8,,34,58,1,897.8,,34,63,2,897.8,,35,58,0,897.8,,34,61,1,897.8,,35,59,2,897.8,,34,60,1,897.8,,35,59,7,897.8,5.3
43,52,41,44,42,44,43,43,,,34,59,7,4489.02,,34,58,41,4489.02,,34,63,3,4489.02,,35,58,4,4489.02,,34,61,4,4489.02,,35,59,0,4489.02,,34,60,24,4489.02,,35,59,14,4489.02,28.8
39,40,39,40,39,41,40,40,,,34,59,3,897.8,,34,58,1,897.8,,34,63,4,897.8,,35,58,2,897.8,,34,61,1,897.8,,35,59,4,897.8,,34,60,1,897.8,,35,59,6,897.8,13.4
37,38,38,37,37,39,38,38,,,34,59,4,897.8,,34,58,2,897.8,,34,63,2,897.8,,35,58,4,897.8,,34,61,0,897.8,,35,59,0,897.8,,34,60,1,897.8,,35,59,2,897.8,7.3
36,38,37,37,36,37,37,38,,,34,59,1,897.8,,34,58,1,897.8,,34,63,1,897.8,,35,58,0,897.8,,34,61,1,897.8,,35,59,1,897.8,,34,60,0,897.8,,35,59,0,897.8,1.4
36,37,36,36,36,38,37,37,,,34,59,0,897.8,,34,58,1,897.8,,34,63,1,897.8,,35,58,0,897.8,,34,61,0,897.8,,35,59,0,897.8,,34,60,0,897.8,,35,59,1,897.8,2.4
36,37,37,37,37,38,37,38,,,34,59,0,897.8,,34,58,2,897.8,,34,63,0,897.8,,35,58,1,897.8,,34,61,1,897.8,,35,59,1,4688.53,,34,60,0,4688.53,,35,59,5,4688.53,3.4
37,38,36,37,36,38,38,38,,,34,59,1,2094.88,,34,58,4,2094.88,,34,63,1,2094.88,,35,58,5,2094.88,,34,61,1,2094.88,,35,59,1,2094.88,,34,60,0,2094.88,,35,59,5,2094.88,5.5
37,38,36,37,36,38,37,38,,,34,59,2,4588.78,,34,58,3,4588.78,,34,63,0,4588.78,,35,58,1,4588.78,,34,61,0,4588.78,,35,59,0,4588.78,,34,60,0,4588.78,,35,59,2,4588.78,2.3
36,37,36,36,36,38,37,37,,,34,59,4,1795.61,,34,58,2,1795.61,,34,63,1,1795.61,,35,58,5,1795.61,,34,61,1,1795.61,,35,59,0,1795.61,,34,60,0,1795.61,,35,59,1,1795.61,8.2
35,36,36,36,36,37,36,37,,,34,59,1,897.8,,34,58,2,897.8,,34,63,0,897.8,,35,58,1,897.8,,34,61,0,897.8,,35,59,1,897.8,,34,60,0,897.8,,35,59,1,897.8,2.9
37,37,37,37,36,38,37,38,,,34,59,4,4588.78,,34,58,0,4588.78,,34,63,0,4588.78,,35,58,1,4588.78,,34,61,0,4588.78,,35,59,2,4588.78,,34,60,1,4588.78,,35,59,2,4588.78,10.8
35,36,35,35,35,36,36,36,,,34,59,1,897.8,,34,58,2,897.8,,34,63,0,4788.29,,35,58,0,4788.29,,34,61,1,4788.29,,35,59,0,4788.29,,34,60,1,4788.29,,35,59,0,4788.29,1.2
35,36,36,36,35,37,36,37,,,34,59,0,3391.7,,34,58,4,3391.7,,34,63,1,3391.7,,35,58,1,3391.7,,34,61,1,4688.53,,35,59,0,4688.53,,34,60,1,4588.78,,35,59,2,4688.53,7
35,35,35,36,35,36,35,36,,,34,59,2,897.8,,34,58,1,897.8,,34,63,1,897.8,,35,58,0,897.8,,34,61,2,897.8,,35,59,1,897.8,,34,60,0,897.8,,35,59,0,897.8,1
39,40,38,39,38,40,39,38,,,34,59,13,4289.51,,34,58,4,4289.51,,34,63,2,4289.51,,35,58,5,4289.51,,34,61,3,4289.51,,35,59,17,4289.51,,34,60,10,4289.51,,35,59,7,4289.51,24.8
35,36,36,35,36,36,36,36,,,34,59,1,897.8,,34,58,1,897.8,,34,63,0,897.8,,35,58,0,897.8,,34,61,3,897.8,,35,59,1,897.8,,34,60,0,897.8,,35,59,0,897.8,5.8
35,35,35,36,35,36,35,36,,,34,59,2,897.8,,34,58,1,897.8,,34,63,1,897.8,,35,58,1,897.8,,34,61,2,897.8,,35,59,1,897.8,,34,60,1,897.8,,35,59,0,897.8,1.3
38,36,37,38,35,37,37,36,,,34,59,1,4588.78,,34,58,0,4588.78,,34,63,2,4588.78,,35,58,2,4588.78,,34,61,0,4588.78,,35,59,0,4588.78,,34,60,0,4588.78,,35,59,1,4588.78,2.6
34,35,34,35,34,36,35,36,,,34,59,4,897.8,,34,58,1,897.8,,34,63,1,897.8,,35,58,1,897.8,,34,61,9,897.8,,35,59,3,897.8,,34,60,3,897.8,,35,59,4,897.8,2.4
34,35,35,36,35,36,35,36,,,34,59,1,897.8,,34,58,2,897.8,,34,63,0,897.8,,35,58,1,897.8,,34,61,1,897.8,,35,59,0,897.8,,34,60,0,897.8,,35,59,1,897.8,2.2
39,42,38,39,37,39,38,38,,,34,59,3,4489.02,,34,58,10,4489.02,,34,63,5,4489.02,,34,58,4,4588.78,,34,61,1,4588.78,,35,59,2,4588.78,,34,60,0,4588.78,,35,59,2,4588.78,14.9
35,36,35,36,35,37,36,37,,,34,59,3,1396.58,,34,58,3,1396.58,,34,63,0,1396.58,,34,58,0,1396.58,,34,61,0,1396.58,,35,59,0,1396.58,,34,60,0,1396.58,,35,59,0,1097.32,2.9
34,34,34,35,35,36,34,36,,,34,59,1,997.56,,34,58,0,997.56,,34,63,0,997.56,,34,58,0,997.56,,34,61,0,997.56,,35,59,0,997.56,,34,60,3,4788.29,,35,59,3,4788.29,5.7
34,35,35,35,35,36,35,37,,,34,59,1,897.8,,34,58,0,897.8,,34,63,0,897.8,,34,58,0,897.8,,34,61,0,897.8,,35,59,0,897.8,,34,60,0,897.8,,35,59,0,897.8,4.8
35,36,35,37,36,38,35,37,,,34,59,2,3192.19,,34,58,0,3192.19,,34,63,0,3192.19,,34,58,0,3192.19,,34,61,1,3192.19,,35,59,0,3192.19,,34,60,3,3192.19,,35,59,6,3192.19,3.7
36,37,36,36,36,38,36,38,,,34,59,3,4588.78,,34,58,2,4588.78,,34,63,2,4588.78,,34,58,0,4588.78,,34,61,0,4588.78,,35,59,0,4588.78,,34,60,2,4588.78,,35,59,6,4588.78,5.9
44,46,43,44,43,45,54,52,,,34,59,20,4090,,34,58,30,4090,,34,63,12,4090,,34,58,11,4090,,34,61,19,4090,,35,59,18,4090,,34,60,32,4090,,35,59,26,4090,43.9
52,52,51,48,51,54,52,51,,,34,59,9,4289.51,,34,58,28,4090,,34,63,6,4090,,34,58,9,4090,,34,61,25,4090,,35,59,22,4090,,34,60,27,4090,,35,59,20,4090,35.6
